"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"SauceDemo E-Commerce","User Authentication","Login - Validation","0","0","1","0","0"
"SauceDemo E-Commerce","Shopping Cart","Cart Display","0","0","1","0","0"
"SauceDemo E-Commerce","Navigation","Navigation","0","0","1","0","0"
"SauceDemo E-Commerce","User Authentication","Login - Failure","0","0","3","0","0"
"SauceDemo E-Commerce","Product Catalog","Product Navigation","0","0","1","0","0"
"SauceDemo E-Commerce","Product Catalog","Product Sorting","0","0","4","0","0"
"SauceDemo E-Commerce","Checkout Process","Checkout Calculation","0","0","1","0","0"
"SauceDemo E-Commerce","Checkout Process","Checkout Validation","0","0","3","0","0"
"SauceDemo E-Commerce","Navigation","Reset State","0","0","1","0","0"
"SauceDemo E-Commerce","User Authentication","Login - Success","0","0","1","0","0"
"SauceDemo E-Commerce","Shopping Cart","Cart Operations","0","0","5","0","0"
"SauceDemo E-Commerce","Shopping Cart","Cart Navigation","0","0","2","0","0"
"SauceDemo E-Commerce","Checkout Process","Checkout Flow","0","0","1","0","0"
"SauceDemo E-Commerce","Product Catalog","Product Display","0","0","1","0","0"
"SauceDemo E-Commerce","Checkout Process","Checkout Completion","0","0","1","0","0"
"SauceDemo E-Commerce","Navigation","Logout","0","0","1","0","0"
"SauceDemo E-Commerce","Checkout Process","Checkout Navigation","0","0","2","0","0"
