"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Dec 25 04:39:24 UTC 2025","Thu Dec 25 04:39:26 UTC 2025","2433","","examples.login.LoginFailureTests","","examples.login.LoginFailureTests","testLoginWithInvalidUsername","TC-002: Авторизация с невалидным username",""
"passed","Thu Dec 25 04:39:39 UTC 2025","Thu Dec 25 04:39:53 UTC 2025","13695","","examples.navigation.NavigationTests","","examples.navigation.NavigationTests","testResetAppState","TC-030: Сброс состояния приложения через Reset App State",""
"passed","Thu Dec 25 04:39:49 UTC 2025","Thu Dec 25 04:39:51 UTC 2025","1826","","examples.cart.CartOperationsTests","","examples.cart.CartOperationsTests","testContinueShopping","TC-019: Кнопка 'Continue Shopping' в корзине",""
"passed","Thu Dec 25 04:39:20 UTC 2025","Thu Dec 25 04:39:24 UTC 2025","3956","","examples.cart.CartOperationsTests","","examples.cart.CartOperationsTests","testAddProductFromDetailsPage","TC-013: Добавление товара в корзину со страницы детальной информации",""
"passed","Thu Dec 25 04:39:31 UTC 2025","Thu Dec 25 04:39:35 UTC 2025","3837","","examples.cart.CartOperationsTests","","examples.cart.CartOperationsTests","testRemoveProductFromCartPage","TC-018: Удаление товара из корзины на странице корзины",""
"passed","Thu Dec 25 04:38:55 UTC 2025","Thu Dec 25 04:39:21 UTC 2025","25982","","examples.checkout.CheckoutFlowTests","","examples.checkout.CheckoutFlowTests","testCheckoutWithValidInformation","TC-021: Заполнение информации о покупателе с валидными данными",""
"passed","Thu Dec 25 04:39:21 UTC 2025","Thu Dec 25 04:39:24 UTC 2025","2969","","examples.login.LoginFailureTests","","examples.login.LoginFailureTests","testLoginWithInvalidPassword","TC-003: Авторизация с невалидным password",""
"passed","Thu Dec 25 04:39:51 UTC 2025","Thu Dec 25 04:39:54 UTC 2025","2049","","examples.checkout.CheckoutFlowTests","","examples.checkout.CheckoutFlowTests","testCheckoutWithoutFirstName","TC-022: Попытка продолжить чекаут без заполнения First Name",""
"passed","Thu Dec 25 04:39:19 UTC 2025","Thu Dec 25 04:39:21 UTC 2025","2110","","examples.login.LoginFailureTests","","examples.login.LoginFailureTests","testLoginWithEmptyFields","TC-004: Авторизация с пустыми полями",""
"passed","Thu Dec 25 04:39:48 UTC 2025","Thu Dec 25 04:39:49 UTC 2025","1544","","examples.inventory.InventorySortingTests","","examples.inventory.InventorySortingTests","testSortByPriceHighToLow","TC-010: Сортировка товаров по цене (High to Low)",""
"passed","Thu Dec 25 04:38:55 UTC 2025","Thu Dec 25 04:39:19 UTC 2025","23414","","examples.login.LoginSuccessTests","","examples.login.LoginSuccessTests","testSuccessfulLoginWithStandardUser","TC-001: Успешная авторизация со стандартным пользователем","Verify that user can login with valid standard user credentials"
"passed","Thu Dec 25 04:39:27 UTC 2025","Thu Dec 25 04:39:32 UTC 2025","5361","","examples.checkout.CheckoutFlowTests","","examples.checkout.CheckoutFlowTests","testCheckoutWithoutZipCode","TC-024: Попытка продолжить чекаут без заполнения Zip Code",""
"passed","Thu Dec 25 04:39:51 UTC 2025","Thu Dec 25 04:39:52 UTC 2025","1871","","examples.inventory.InventorySortingTests","","examples.inventory.InventorySortingTests","testSortByNameAscending","TC-007: Сортировка товаров по имени (A to Z)",""
"passed","Thu Dec 25 04:38:55 UTC 2025","Thu Dec 25 04:39:18 UTC 2025","22993","","examples.login.LoginFailureTests","","examples.login.LoginFailureTests","testLoginWithLockedUser","TC-005: Авторизация с заблокированным пользователем",""
"passed","Thu Dec 25 04:39:32 UTC 2025","Thu Dec 25 04:39:38 UTC 2025","5476","","examples.checkout.CheckoutFlowTests","","examples.checkout.CheckoutFlowTests","testCheckoutTotalCalculation","TC-025: Проверка корректности расчета общей суммы заказа",""
"passed","Thu Dec 25 04:39:28 UTC 2025","Thu Dec 25 04:39:31 UTC 2025","3517","","examples.cart.CartOperationsTests","","examples.cart.CartOperationsTests","testAddProductToCart","TC-012: Добавление товара в корзину из каталога",""
"passed","Thu Dec 25 04:39:55 UTC 2025","Thu Dec 25 04:40:06 UTC 2025","11581","","examples.checkout.CheckoutFlowTests","","examples.checkout.CheckoutFlowTests","testCancelOnCheckoutOverviewPage","TC-028: Кнопка Cancel на странице обзора заказа",""
"passed","Thu Dec 25 04:39:27 UTC 2025","Thu Dec 25 04:39:35 UTC 2025","8166","","examples.navigation.NavigationTests","","examples.navigation.NavigationTests","testNavigateToAllItems","TC-020: Навигация 'All Items' в бургер-меню",""
